"SUBSTANCE";"CODE_NACE_REV2_ET_MENAGES";"MASSE";"ANNEE";"LIBELLE_NACE_ET_MENAGES";"LIBELLE_SUBSTANCE"
"CH4_CO2E";"M74_M75";142.93;2020;"Autres activités spécialisées, scientifiques et techniques, activités vétérinaires";"Méthane (équivalent CO2)"
"CH4_CO2E";"N77";3119.65;2020;"Activités de location et location-bail";"Méthane (équivalent CO2)"
"CH4_CO2E";"N78";990.62;2020;"Activités liées à l'emploi";"Méthane (équivalent CO2)"
"CH4_CO2E";"N79";58.17;2020;"Activités des agences de voyage, voyagistes, services de réservation et activités connexes";"Méthane (équivalent CO2)"
"CH4_CO2E";"N80-N82";2381.64;2020;"Enquêtes et sécurité, activités administratives, services et aménagement paysager";"Méthane (équivalent CO2)"
"CH4_CO2E";"O";8524.78;2020;"Administration publique";"Méthane (équivalent CO2)"
"CH4_CO2E";"P";7353.85;2020;"Enseignement";"Méthane (équivalent CO2)"
"CH4_CO2E";"Q86";5372.56;2020;"Activités pour la santé humaine";"Méthane (équivalent CO2)"
"CH4_CO2E";"Q87_Q88";6295.66;2020;"Hébergement médico-social et social et action sociale sans hébergement";"Méthane (équivalent CO2)"
"CH4_CO2E";"R90-R92";651.23;2020;"Activités créatives, artistiques et de spectacle; bibliothèques, archives, musées et autres activités culturelles; organisation de jeux de hasard et d'argent";"Méthane (équivalent CO2)"
"CH4_CO2E";"R93";3264.58;2020;"Activités sportives, récréatives et de loisirs";"Méthane (équivalent CO2)"
"CH4_CO2E";"S94";392.45;2020;"Activités des organisations associatives";"Méthane (équivalent CO2)"
"CH4_CO2E";"S95";230.11;2020;"Réparation d'ordinateurs et de biens personnels et domestiques";"Méthane (équivalent CO2)"
"CH4_CO2E";"S96";1546.85;2020;"Autres services personnels";"Méthane (équivalent CO2)"
"CH4_CO2E";"T";0;2020;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"Méthane (équivalent CO2)"
"CH4_CO2E";"U";0;2020;"Activités extra-territoriales";"Méthane (équivalent CO2)"
"CH4_NMVOCE";"A01";21021.48;2020;"Culture et production animale, chasse et services annexes";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"A02";0.89;2020;"Sylviculture et exploitation forestière";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"A03";1.25;2020;"Pêche et aquaculture";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"B";39.18;2020;"Industries extractives";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C10-C12";13.61;2020;"Industries alimentaires; fabrication de boissons et de produits à base de tabac";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C13-C15";0.5;2020;"Fabrication de textiles, industrie de l'habillement, du cuir et de la chaussure";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C16";9.4;2020;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C17";31.58;2020;"Industrie du papier et du carton";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C18";0.12;2020;"Imprimerie et reproduction d'enregistrements";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C19";6.25;2020;"Cokéfaction et raffinage";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C20";31.53;2020;"Industrie chimique";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C21";0.69;2020;"Industrie pharmaceutique";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C22";0.85;2020;"Fabrication de produits en caoutchouc et en plastique";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C23";15.24;2020;"Fabrication d'autres produits minéraux non métalliques";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C24";20.26;2020;"Métallurgie";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C25";0.51;2020;"Fabrication de produits métalliques, à l'exception des machines et des équipements";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C26";0.09;2020;"Fabrication de produits informatiques, électroniques et optiques";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C27";0.14;2020;"Fabrication d'équipements électriques";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C28";0.21;2020;"Fabrication de machines et équipements n.c.a.";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C29";0.45;2020;"Industrie automobile";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C30";0.17;2020;"Fabrication d'autres matériels de transport";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C31_C32";0.33;2020;"Fabrication de meubles; autres industries manufacturières";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"C33";0.22;2020;"Réparation et installation de machines et d'équipements";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"D";323.88;2020;"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"E36";0.3;2020;"Captage, traitement et distribution d'eau";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"E37-E39";7636.51;2020;"Collecte et traitement des eaux usées, gestion des déchets, dépollution";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"F";2.91;2020;"Construction";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"G45";1.99;2020;"Commerce et réparation d'automobiles et de motocycles";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"G46";1.69;2020;"Commerce de gros, à l'exception des automobiles et des motocycles";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"G47";2.55;2020;"Commerce de détail, à l'exception des automobiles et des motocycles";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"H49";177.19;2020;"Transports terrestres et transport par conduites";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"H50";12.28;2020;"Transports par eau";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"H51";1.13;2020;"Transports aériens";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"H52";1.05;2020;"Entreposage et services auxiliaires des transports";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"H53";0.17;2020;"Activités de poste et de courrier";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"HH_HEAT";495.92;2020;"Chauffage/refroidissement par les ménages";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"HH_OTH";1183.98;2020;"Autres activités par les ménages";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"HH_TRA";50.96;2020;"Activités de transport des ménages";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"I";2.91;2020;"Hébergement et restauration";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"J58";0.1;2020;"Édition";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"J59_J60";0.27;2020;"Activités cinématographique, vidéo, production de programmes de télévision, activités de programmation et de diffusion";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"J61";0.14;2020;"Télécommunications";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"J62_J63";0.3;2020;"Programmation, conseil en informatique et autres services d'information";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"K64";0.43;2020;"Activités des services financiers, hors assurance et caisses de retraite";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"K65";0.1;2020;"Assurance";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"K66";0.12;2020;"Activités auxiliaires de services financiers et d'assurance";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"L";0.24;2020;"Activités immobilières";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"M69_M70";0.57;2020;"Activités juridiques et comptables; activités des sièges sociaux; conseil de gestion";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"M71";0.36;2020;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"M72";0.57;2020;"Recherche-développement scientifique";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"M73";0.1;2020;"Publicité et études de marché";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"M74_M75";0.08;2020;"Autres activités spécialisées, scientifiques et techniques, activités vétérinaires";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"N77";1.75;2020;"Activités de location et location-bail";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"N78";0.55;2020;"Activités liées à l'emploi";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"N79";0.03;2020;"Activités des agences de voyage, voyagistes, services de réservation et activités connexes";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"N80-N82";1.33;2020;"Enquêtes et sécurité, activités administratives, services et aménagement paysager";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"O";4.77;2020;"Administration publique";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"P";4.12;2020;"Enseignement";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"Q86";3.01;2020;"Activités pour la santé humaine";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"Q87_Q88";3.53;2020;"Hébergement médico-social et social et action sociale sans hébergement";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"R90-R92";0.36;2020;"Activités créatives, artistiques et de spectacle; bibliothèques, archives, musées et autres activités culturelles; organisation de jeux de hasard et d'argent";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"R93";1.83;2020;"Activités sportives, récréatives et de loisirs";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"S94";0.22;2020;"Activités des organisations associatives";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"S95";0.13;2020;"Réparation d'ordinateurs et de biens personnels et domestiques";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"S96";0.87;2020;"Autres services personnels";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"T";0;2020;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"Méthane (équivalent NMVOC)"
"CH4_NMVOCE";"U";0;2020;"Activités extra-territoriales";"Méthane (équivalent NMVOC)"
"CO2";"A01";11226662;2020;"Culture et production animale, chasse et services annexes";"Dioxyde de carbone"
"CO2";"A02";425578;2020;"Sylviculture et exploitation forestière";"Dioxyde de carbone"
"CO2";"A03";1357440;2020;"Pêche et aquaculture";"Dioxyde de carbone"
"CO2";"B";1200800;2020;"Industries extractives";"Dioxyde de carbone"
"CO2";"C10-C12";8893330;2020;"Industries alimentaires; fabrication de boissons et de produits à base de tabac";"Dioxyde de carbone"
"CO2";"C13-C15";666475;2020;"Fabrication de textiles, industrie de l'habillement, du cuir et de la chaussure";"Dioxyde de carbone"
"CO2";"C16";485007;2020;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";"Dioxyde de carbone"
"CO2";"C17";2359393;2020;"Industrie du papier et du carton";"Dioxyde de carbone"
"CO2";"C18";263668;2020;"Imprimerie et reproduction d'enregistrements";"Dioxyde de carbone"
"CO2";"C19";11253960;2020;"Cokéfaction et raffinage";"Dioxyde de carbone"
"CO2";"C20";18180357;2020;"Industrie chimique";"Dioxyde de carbone"
"CO2";"C21";863250;2020;"Industrie pharmaceutique";"Dioxyde de carbone"
"CO2";"C22";1167769;2020;"Fabrication de produits en caoutchouc et en plastique";"Dioxyde de carbone"
"CO2";"C23";18789917;2020;"Fabrication d'autres produits minéraux non métalliques";"Dioxyde de carbone"
"CO2";"C24";16404686;2020;"Métallurgie";"Dioxyde de carbone"
"CO2";"C25";996178;2020;"Fabrication de produits métalliques, à l'exception des machines et des équipements";"Dioxyde de carbone"
"CO2";"C26";252321;2020;"Fabrication de produits informatiques, électroniques et optiques";"Dioxyde de carbone"
"CO2";"C27";318103;2020;"Fabrication d'équipements électriques";"Dioxyde de carbone"
"CO2";"C28";588479;2020;"Fabrication de machines et équipements n.c.a.";"Dioxyde de carbone"
"CO2";"C29";845241;2020;"Industrie automobile";"Dioxyde de carbone"
"CO2";"C30";292078;2020;"Fabrication d'autres matériels de transport";"Dioxyde de carbone"
"CO2";"C31_C32";255882;2020;"Fabrication de meubles; autres industries manufacturières";"Dioxyde de carbone"
"CO2";"C33";392389;2020;"Réparation et installation de machines et d'équipements";"Dioxyde de carbone"
"CO2";"D";21207801;2020;"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"Dioxyde de carbone"
"CO2";"E36";69901;2020;"Captage, traitement et distribution d'eau";"Dioxyde de carbone"
"CO2";"E37-E39";8780630;2020;"Collecte et traitement des eaux usées, gestion des déchets, dépollution";"Dioxyde de carbone"
"CO2";"F";6954178;2020;"Construction";"Dioxyde de carbone"
"CO2";"G45";2359969;2020;"Commerce et réparation d'automobiles et de motocycles";"Dioxyde de carbone"
"CO2";"G46";2465601;2020;"Commerce de gros, à l'exception des automobiles et des motocycles";"Dioxyde de carbone"
"CO2";"G47";2556321;2020;"Commerce de détail, à l'exception des automobiles et des motocycles";"Dioxyde de carbone"
"CO2";"H49";17450043;2020;"Transports terrestres et transport par conduites";"Dioxyde de carbone"
"CO2";"H50";2797079;2020;"Transports par eau";"Dioxyde de carbone"
"CO2";"H51";11922334;2020;"Transports aériens";"Dioxyde de carbone"
"CO2";"H52";505739;2020;"Entreposage et services auxiliaires des transports";"Dioxyde de carbone"
"CO2";"H53";486446;2020;"Activités de poste et de courrier";"Dioxyde de carbone"
"CO2";"HH_HEAT";38127021;2020;"Chauffage/refroidissement par les ménages";"Dioxyde de carbone"
"CO2";"HH_OTH";669396;2020;"Autres activités par les ménages";"Dioxyde de carbone"
"CO2";"HH_TRA";58790317;2020;"Activités de transport des ménages";"Dioxyde de carbone"
"CO2";"I";2155238;2020;"Hébergement et restauration";"Dioxyde de carbone"
"CO2";"J58";120831;2020;"Édition";"Dioxyde de carbone"
