"SUBSTANCE";"CODE_NACE_REV2_ET_MENAGES";"MASSE";"ANNEE";"LIBELLE_NACE_ET_MENAGES";"LIBELLE_SUBSTANCE"
"HFC_CO2E";"S95";126081.25;2018;"Réparation d'ordinateurs et de biens personnels et domestiques";"Hydrofluorocarbures (équivalent CO2)"
"HFC_CO2E";"S96";28226.07;2018;"Autres services personnels";"Hydrofluorocarbures (équivalent CO2)"
"HFC_CO2E";"T";0;2018;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"Hydrofluorocarbures (équivalent CO2)"
"HFC_CO2E";"U";0;2018;"Activités extra-territoriales";"Hydrofluorocarbures (équivalent CO2)"
"N2O";"A01";116708.41;2018;"Culture et production animale, chasse et services annexes";"Oxyde nitreux"
"N2O";"A02";168.65;2018;"Sylviculture et exploitation forestière";"Oxyde nitreux"
"N2O";"A03";32.5;2018;"Pêche et aquaculture";"Oxyde nitreux"
"N2O";"B";76.32;2018;"Industries extractives";"Oxyde nitreux"
"N2O";"C10-C12";165.64;2018;"Industries alimentaires; fabrication de boissons et de produits à base de tabac";"Oxyde nitreux"
"N2O";"C13-C15";6.26;2018;"Fabrication de textiles, industrie de l'habillement, du cuir et de la chaussure";"Oxyde nitreux"
"N2O";"C16";118.61;2018;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";"Oxyde nitreux"
"N2O";"C17";107.8;2018;"Industrie du papier et du carton";"Oxyde nitreux"
"N2O";"C18";5.7;2018;"Imprimerie et reproduction d'enregistrements";"Oxyde nitreux"
"N2O";"C19";83.08;2018;"Cokéfaction et raffinage";"Oxyde nitreux"
"N2O";"C20";3346.57;2018;"Industrie chimique";"Oxyde nitreux"
"N2O";"C21";7.03;2018;"Industrie pharmaceutique";"Oxyde nitreux"
"N2O";"C22";12.35;2018;"Fabrication de produits en caoutchouc et en plastique";"Oxyde nitreux"
"N2O";"C23";191.2;2018;"Fabrication d'autres produits minéraux non métalliques";"Oxyde nitreux"
"N2O";"C24";58.65;2018;"Métallurgie";"Oxyde nitreux"
"N2O";"C25";14.38;2018;"Fabrication de produits métalliques, à l'exception des machines et des équipements";"Oxyde nitreux"
"N2O";"C26";4.61;2018;"Fabrication de produits informatiques, électroniques et optiques";"Oxyde nitreux"
"N2O";"C27";4.9;2018;"Fabrication d'équipements électriques";"Oxyde nitreux"
"N2O";"C28";11.01;2018;"Fabrication de machines et équipements n.c.a.";"Oxyde nitreux"
"N2O";"C29";10.32;2018;"Industrie automobile";"Oxyde nitreux"
"N2O";"C30";2.97;2018;"Fabrication d'autres matériels de transport";"Oxyde nitreux"
"N2O";"C31_C32";7.45;2018;"Fabrication de meubles; autres industries manufacturières";"Oxyde nitreux"
"N2O";"C33";11.88;2018;"Réparation et installation de machines et d'équipements";"Oxyde nitreux"
"N2O";"D";453.41;2018;"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"Oxyde nitreux"
"N2O";"E36";2.8;2018;"Captage, traitement et distribution d'eau";"Oxyde nitreux"
"N2O";"E37-E39";1872.47;2018;"Collecte et traitement des eaux usées, gestion des déchets, dépollution";"Oxyde nitreux"
"N2O";"F";1301.4;2018;"Construction";"Oxyde nitreux"
"N2O";"G45";80.53;2018;"Commerce et réparation d'automobiles et de motocycles";"Oxyde nitreux"
"N2O";"G46";73.74;2018;"Commerce de gros, à l'exception des automobiles et des motocycles";"Oxyde nitreux"
"N2O";"G47";47.6;2018;"Commerce de détail, à l'exception des automobiles et des motocycles";"Oxyde nitreux"
"N2O";"H49";341.53;2018;"Transports terrestres et transport par conduites";"Oxyde nitreux"
"N2O";"H50";81.04;2018;"Transports par eau";"Oxyde nitreux"
"N2O";"H51";547.68;2018;"Transports aériens";"Oxyde nitreux"
"N2O";"H52";10.42;2018;"Entreposage et services auxiliaires des transports";"Oxyde nitreux"
"N2O";"H53";15.46;2018;"Activités de poste et de courrier";"Oxyde nitreux"
"N2O";"HH_HEAT";1230.12;2018;"Chauffage/refroidissement par les ménages";"Oxyde nitreux"
"N2O";"HH_OTH";747.43;2018;"Autres activités par les ménages";"Oxyde nitreux"
"N2O";"HH_TRA";2699.77;2018;"Activités de transport des ménages";"Oxyde nitreux"
"N2O";"I";106.49;2018;"Hébergement et restauration";"Oxyde nitreux"
"N2O";"J58";2.86;2018;"Édition";"Oxyde nitreux"
"N2O";"J59_J60";1.85;2018;"Activités cinématographique, vidéo, production de programmes de télévision, activités de programmation et de diffusion";"Oxyde nitreux"
"N2O";"J61";6.66;2018;"Télécommunications";"Oxyde nitreux"
"N2O";"J62_J63";6.54;2018;"Programmation, conseil en informatique et autres services d'information";"Oxyde nitreux"
"N2O";"K64";14.49;2018;"Activités des services financiers, hors assurance et caisses de retraite";"Oxyde nitreux"
"N2O";"K65";2.18;2018;"Assurance";"Oxyde nitreux"
"N2O";"K66";2.74;2018;"Activités auxiliaires de services financiers et d'assurance";"Oxyde nitreux"
"N2O";"L";10.78;2018;"Activités immobilières";"Oxyde nitreux"
"N2O";"M69_M70";12.73;2018;"Activités juridiques et comptables; activités des sièges sociaux; conseil de gestion";"Oxyde nitreux"
"N2O";"M71";15.99;2018;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";"Oxyde nitreux"
"N2O";"M72";3.11;2018;"Recherche-développement scientifique";"Oxyde nitreux"
"N2O";"M73";4.44;2018;"Publicité et études de marché";"Oxyde nitreux"
"N2O";"M74_M75";2.18;2018;"Autres activités spécialisées, scientifiques et techniques, activités vétérinaires";"Oxyde nitreux"
"N2O";"N77";161.2;2018;"Activités de location et location-bail";"Oxyde nitreux"
"N2O";"N78";4.35;2018;"Activités liées à l'emploi";"Oxyde nitreux"
"N2O";"N79";0.64;2018;"Activités des agences de voyage, voyagistes, services de réservation et activités connexes";"Oxyde nitreux"
"N2O";"N80-N82";29.85;2018;"Enquêtes et sécurité, activités administratives, services et aménagement paysager";"Oxyde nitreux"
"N2O";"O";57.23;2018;"Administration publique";"Oxyde nitreux"
"N2O";"P";23.46;2018;"Enseignement";"Oxyde nitreux"
"N2O";"Q86";306.77;2018;"Activités pour la santé humaine";"Oxyde nitreux"
"N2O";"Q87_Q88";20.15;2018;"Hébergement médico-social et social et action sociale sans hébergement";"Oxyde nitreux"
"N2O";"R90-R92";2.37;2018;"Activités créatives, artistiques et de spectacle; bibliothèques, archives, musées et autres activités culturelles; organisation de jeux de hasard et d'argent";"Oxyde nitreux"
"N2O";"R93";5.89;2018;"Activités sportives, récréatives et de loisirs";"Oxyde nitreux"
"N2O";"S94";3.58;2018;"Activités des organisations associatives";"Oxyde nitreux"
"N2O";"S95";2.87;2018;"Réparation d'ordinateurs et de biens personnels et domestiques";"Oxyde nitreux"
"N2O";"S96";6.24;2018;"Autres services personnels";"Oxyde nitreux"
"N2O";"T";0;2018;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"Oxyde nitreux"
"N2O";"U";0;2018;"Activités extra-territoriales";"Oxyde nitreux"
"N2O_CO2E";"A01";34779105.66;2018;"Culture et production animale, chasse et services annexes";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"A02";50257.54;2018;"Sylviculture et exploitation forestière";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"A03";9683.8;2018;"Pêche et aquaculture";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"B";22743.22;2018;"Industries extractives";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C10-C12";49361.88;2018;"Industries alimentaires; fabrication de boissons et de produits à base de tabac";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C13-C15";1864.64;2018;"Fabrication de textiles, industrie de l'habillement, du cuir et de la chaussure";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C16";35345.6;2018;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C17";32123.21;2018;"Industrie du papier et du carton";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C18";1699.04;2018;"Imprimerie et reproduction d'enregistrements";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C19";24756.94;2018;"Cokéfaction et raffinage";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C20";997278.53;2018;"Industrie chimique";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C21";2095.24;2018;"Industrie pharmaceutique";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C22";3681.43;2018;"Fabrication de produits en caoutchouc et en plastique";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C23";56976.5;2018;"Fabrication d'autres produits minéraux non métalliques";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C24";17479.12;2018;"Métallurgie";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C25";4286.39;2018;"Fabrication de produits métalliques, à l'exception des machines et des équipements";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C26";1372.89;2018;"Fabrication de produits informatiques, électroniques et optiques";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C27";1461.09;2018;"Fabrication d'équipements électriques";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C28";3281.52;2018;"Fabrication de machines et équipements n.c.a.";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C29";3074.36;2018;"Industrie automobile";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C30";886.29;2018;"Fabrication d'autres matériels de transport";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C31_C32";2218.64;2018;"Fabrication de meubles; autres industries manufacturières";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"C33";3540.95;2018;"Réparation et installation de machines et d'équipements";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"D";135114.82;2018;"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"E36";835.06;2018;"Captage, traitement et distribution d'eau";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"E37-E39";557997.23;2018;"Collecte et traitement des eaux usées, gestion des déchets, dépollution";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"F";387817.02;2018;"Construction";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"G45";23996.87;2018;"Commerce et réparation d'automobiles et de motocycles";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"G46";21973.95;2018;"Commerce de gros, à l'exception des automobiles et des motocycles";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"G47";14184.66;2018;"Commerce de détail, à l'exception des automobiles et des motocycles";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"H49";101775.01;2018;"Transports terrestres et transport par conduites";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"H50";24150.52;2018;"Transports par eau";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"H51";163210.12;2018;"Transports aériens";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"H52";3106.5;2018;"Entreposage et services auxiliaires des transports";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"H53";4606.07;2018;"Activités de poste et de courrier";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"HH_HEAT";366576.44;2018;"Chauffage/refroidissement par les ménages";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"HH_OTH";222734.96;2018;"Autres activités par les ménages";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"HH_TRA";804531.84;2018;"Activités de transport des ménages";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"I";31734.44;2018;"Hébergement et restauration";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"J58";851.19;2018;"Édition";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"J59_J60";551.81;2018;"Activités cinématographique, vidéo, production de programmes de télévision, activités de programmation et de diffusion";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"J61";1985.05;2018;"Télécommunications";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"J62_J63";1949.25;2018;"Programmation, conseil en informatique et autres services d'information";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"K64";4317.69;2018;"Activités des services financiers, hors assurance et caisses de retraite";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"K65";650.23;2018;"Assurance";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"K66";816.7;2018;"Activités auxiliaires de services financiers et d'assurance";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"L";3211.95;2018;"Activités immobilières";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"M69_M70";3794.56;2018;"Activités juridiques et comptables; activités des sièges sociaux; conseil de gestion";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"M71";4763.63;2018;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"M72";927.72;2018;"Recherche-développement scientifique";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"M73";1322.33;2018;"Publicité et études de marché";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"M74_M75";648.32;2018;"Autres activités spécialisées, scientifiques et techniques, activités vétérinaires";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"N77";48038.78;2018;"Activités de location et location-bail";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"N78";1297.57;2018;"Activités liées à l'emploi";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"N79";191.34;2018;"Activités des agences de voyage, voyagistes, services de réservation et activités connexes";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"N80-N82";8895.07;2018;"Enquêtes et sécurité, activités administratives, services et aménagement paysager";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"O";17053.88;2018;"Administration publique";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"P";6991.77;2018;"Enseignement";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"Q86";91416.66;2018;"Activités pour la santé humaine";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"Q87_Q88";6004.89;2018;"Hébergement médico-social et social et action sociale sans hébergement";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"R90-R92";705.79;2018;"Activités créatives, artistiques et de spectacle; bibliothèques, archives, musées et autres activités culturelles; organisation de jeux de hasard et d'argent";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"R93";1755.32;2018;"Activités sportives, récréatives et de loisirs";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"S94";1066.32;2018;"Activités des organisations associatives";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"S95";854.13;2018;"Réparation d'ordinateurs et de biens personnels et domestiques";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"S96";1858.81;2018;"Autres services personnels";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"T";0;2018;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"Oxyde nitreux (équivalent CO2)"
"N2O_CO2E";"U";0;2018;"Activités extra-territoriales";"Oxyde nitreux (équivalent CO2)"
"NF3_SF6_CO2E";"A01";0;2018;"Culture et production animale, chasse et services annexes";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"A02";0;2018;"Sylviculture et exploitation forestière";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"A03";0;2018;"Pêche et aquaculture";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"B";0;2018;"Industries extractives";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C10-C12";23214.79;2018;"Industries alimentaires; fabrication de boissons et de produits à base de tabac";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C13-C15";0;2018;"Fabrication de textiles, industrie de l'habillement, du cuir et de la chaussure";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C16";0;2018;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C17";0;2018;"Industrie du papier et du carton";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C18";0;2018;"Imprimerie et reproduction d'enregistrements";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C19";0;2018;"Cokéfaction et raffinage";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C20";0;2018;"Industrie chimique";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C21";0;2018;"Industrie pharmaceutique";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C22";0;2018;"Fabrication de produits en caoutchouc et en plastique";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C23";0;2018;"Fabrication d'autres produits minéraux non métalliques";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C24";57456;2018;"Métallurgie";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C25";853.55;2018;"Fabrication de produits métalliques, à l'exception des machines et des équipements";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C26";17087.97;2018;"Fabrication de produits informatiques, électroniques et optiques";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C27";102177.74;2018;"Fabrication d'équipements électriques";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C28";0;2018;"Fabrication de machines et équipements n.c.a.";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C29";0;2018;"Industrie automobile";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C30";0;2018;"Fabrication d'autres matériels de transport";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C31_C32";0;2018;"Fabrication de meubles; autres industries manufacturières";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"C33";0;2018;"Réparation et installation de machines et d'équipements";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"D";200706.23;2018;"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"E36";0;2018;"Captage, traitement et distribution d'eau";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"E37-E39";0;2018;"Collecte et traitement des eaux usées, gestion des déchets, dépollution";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"F";0;2018;"Construction";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"G45";0;2018;"Commerce et réparation d'automobiles et de motocycles";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"G46";0;2018;"Commerce de gros, à l'exception des automobiles et des motocycles";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"G47";0;2018;"Commerce de détail, à l'exception des automobiles et des motocycles";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"H49";0;2018;"Transports terrestres et transport par conduites";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"H50";0;2018;"Transports par eau";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"H51";0;2018;"Transports aériens";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"H52";0;2018;"Entreposage et services auxiliaires des transports";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"H53";0;2018;"Activités de poste et de courrier";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"HH_HEAT";0;2018;"Chauffage/refroidissement par les ménages";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"HH_OTH";0;2018;"Autres activités par les ménages";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"HH_TRA";0;2018;"Activités de transport des ménages";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"I";0;2018;"Hébergement et restauration";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"J58";0;2018;"Édition";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"J59_J60";0;2018;"Activités cinématographique, vidéo, production de programmes de télévision, activités de programmation et de diffusion";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"J61";0;2018;"Télécommunications";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"J62_J63";0;2018;"Programmation, conseil en informatique et autres services d'information";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"K64";0;2018;"Activités des services financiers, hors assurance et caisses de retraite";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"K65";0;2018;"Assurance";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"K66";0;2018;"Activités auxiliaires de services financiers et d'assurance";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"L";0;2018;"Activités immobilières";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"M69_M70";0;2018;"Activités juridiques et comptables; activités des sièges sociaux; conseil de gestion";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"M71";0;2018;"Activités d'architecture et d'ingénierie; activités de contrôle et analyses techniques";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"M72";8278.84;2018;"Recherche-développement scientifique";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"M73";0;2018;"Publicité et études de marché";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"M74_M75";0;2018;"Autres activités spécialisées, scientifiques et techniques, activités vétérinaires";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"N77";0;2018;"Activités de location et location-bail";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"N78";0;2018;"Activités liées à l'emploi";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"N79";0;2018;"Activités des agences de voyage, voyagistes, services de réservation et activités connexes";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"N80-N82";0;2018;"Enquêtes et sécurité, activités administratives, services et aménagement paysager";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"O";23214.79;2018;"Administration publique";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"P";0;2018;"Enseignement";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"Q86";12015.99;2018;"Activités pour la santé humaine";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"Q87_Q88";0;2018;"Hébergement médico-social et social et action sociale sans hébergement";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"R90-R92";0;2018;"Activités créatives, artistiques et de spectacle; bibliothèques, archives, musées et autres activités culturelles; organisation de jeux de hasard et d'argent";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"R93";0;2018;"Activités sportives, récréatives et de loisirs";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"S94";0;2018;"Activités des organisations associatives";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"S95";0;2018;"Réparation d'ordinateurs et de biens personnels et domestiques";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"S96";0;2018;"Autres services personnels";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"T";0;2018;"Activités des ménages en tant qu'employeurs; activités indifférenciées des ménages en tant que producteurs de biens et services pour usage propre";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NF3_SF6_CO2E";"U";0;2018;"Activités extra-territoriales";"Trifluorure d'azote et hexafluorures de soufre (équivalent CO2)"
"NH3";"A01";566886.16;2018;"Culture et production animale, chasse et services annexes";"Ammoniac"
"NH3";"A02";1.79;2018;"Sylviculture et exploitation forestière";"Ammoniac"
"NH3";"A03";6.09;2018;"Pêche et aquaculture";"Ammoniac"
"NH3";"B";19.31;2018;"Industries extractives";"Ammoniac"
"NH3";"C10-C12";585.51;2018;"Industries alimentaires; fabrication de boissons et de produits à base de tabac";"Ammoniac"
"NH3";"C13-C15";2.27;2018;"Fabrication de textiles, industrie de l'habillement, du cuir et de la chaussure";"Ammoniac"
"NH3";"C16";887.96;2018;"Travail du bois et fabrication d'articles en bois et en liège, à l'exception des meubles; fabrication d'articles en vannerie et sparterie";"Ammoniac"
"NH3";"C17";79.17;2018;"Industrie du papier et du carton";"Ammoniac"
"NH3";"C18";2.19;2018;"Imprimerie et reproduction d'enregistrements";"Ammoniac"
"NH3";"C19";22.71;2018;"Cokéfaction et raffinage";"Ammoniac"
"NH3";"C20";4080.72;2018;"Industrie chimique";"Ammoniac"
"NH3";"C21";14.55;2018;"Industrie pharmaceutique";"Ammoniac"
"NH3";"C22";30.3;2018;"Fabrication de produits en caoutchouc et en plastique";"Ammoniac"
"NH3";"C23";1364.34;2018;"Fabrication d'autres produits minéraux non métalliques";"Ammoniac"
"NH3";"C24";15.93;2018;"Métallurgie";"Ammoniac"
"NH3";"C25";8.89;2018;"Fabrication de produits métalliques, à l'exception des machines et des équipements";"Ammoniac"
"NH3";"C26";3.15;2018;"Fabrication de produits informatiques, électroniques et optiques";"Ammoniac"
"NH3";"C27";3.42;2018;"Fabrication d'équipements électriques";"Ammoniac"
"NH3";"C28";7.03;2018;"Fabrication de machines et équipements n.c.a.";"Ammoniac"
"NH3";"C29";9.69;2018;"Industrie automobile";"Ammoniac"
"NH3";"C30";6.15;2018;"Fabrication d'autres matériels de transport";"Ammoniac"
"NH3";"C31_C32";19.39;2018;"Fabrication de meubles; autres industries manufacturières";"Ammoniac"
"NH3";"C33";6.14;2018;"Réparation et installation de machines et d'équipements";"Ammoniac"
"NH3";"D";805.21;2018;"Production et distribution d'électricité, de gaz, de vapeur et d'air conditionné";"Ammoniac"
"NH3";"E36";1.18;2018;"Captage, traitement et distribution d'eau";"Ammoniac"
