id,name,long_name,named_place,station_type,basin,lon,lat,alt,start_date,end_date,is_open,is_public,department_id,is_daily,is_hourly,is_minutely
56121001,LORIENT OBSERVATOIRE MARITIME,LORIENT (LORIENT OBSERVATOIRE MARITIME),OBSERVATOIRE MARITIME,4,J580,-3.363333,47.745,24,1862-01-01,1922-05-31,false,true,56,true,true,false
56163001,PLOERDUT,PLOERDUT,station d'épuration,2,J472,-3.308833,48.090667,179,1968-01-01,,true,true,56,true,true,true
56181001,PORT-LOUIS,PORT-LOUIS,SEMAPHORE,4,J600,-3.353333,47.706667,19,1946-01-01,2001-08-31,false,true,56,true,true,false
56186003,QUIBERON-AERODROME,QUIBERON (QUIBERON-AERODROME),Aérodrome,1,NR,-3.099,47.479833,9,2021-06-08,,true,true,56,true,true,true
14754002,VILLERS-SUR-MER VILLA DIANA,VILLERS-SUR-MER (VILLERS-SUR-MER VILLA DIANA),VILLA DIANA,4,I050,-0.005,49.321667,50,1933-08-01,1942-02-28,true,true,14,true,false,false
19255004,SEILHAC-SPC,,,5,,1.716667,45.365,490,,,true,true,19,true,true,false
38020400,AURIS-EN-OISANS,AURIS (AURIS-EN-OISANS),Station dAuris,4,W211,6.076333,45.057167,1600,1986-02-10,,true,true,38,true,true,false
56240003,SARZEAU SA,SARZEAU (SARZEAU SA),MEN GWEN SARZEAU,2,J650,-2.796,47.510667,35,1995-07-01,,true,true,56,true,true,true
51248002,FERE-CHAMP,FERE-CHAMPENOISE (FERE-CHAMP),LA CROIX BLANCHE,2,F155,4.033333,48.771667,163,1990-09-01,2004-06-30,false,true,51,true,true,false
34032009,BEZIERS AVENUE SAINT-SAENS,BEZIERS (BEZIERS AVENUE SAINT-SAENS),AVENUE SAINT-SAENS,4,Y258,3.218333,43.345,25,1954-06-01,1957-12-31,true,true,34,true,false,false
34032015,BEZIERS-BAYSSAN,BEZIERS (BEZIERS-BAYSSAN),Domaine de Bayssan,4,NR,3.202167,43.302333,37,2015-01-01,2020-01-22,true,true,34,true,false,false
34034001,BOISSET,BOISSET,BG,4,Y160,2.7,43.403333,372,1989-01-01,1990-12-31,true,true,34,true,false,false
57119001,BUHL-LORRAINE,BUHL-LORRAINE,,1,NR,7.079833,48.7195,258,2012-01-05,,true,true,57,true,true,true
57253001,GONDREXANGE,GONDREXANGE,ETANG,2,A902,6.928333,48.688,266,1855-02-01,,true,true,57,true,true,true
59183001,DUNKERQUE,DUNKERQUE,SEMAPHORE,0,E429,2.3395,51.055833,11,1891-01-01,,true,true,59,true,true,true
19278001,VARETZ-SPC,,,5,,1.438,45.218,100,,,true,true,19,true,true,false
58061001,CHASNAY,CHASNAY,LA VERNIERE,2,K404,3.168167,47.233833,213,1979-02-01,,true,true,58,true,true,true
57395001,LESSE_SAPC,LESSE (LESSE_SAPC),Le Sacron,2,A971,6.508,48.965833,233,2009-03-30,,true,true,57,true,true,true
57465001,METZERVISSE,METZERVISSE,,2,A862,6.283167,49.306333,226,1943-01-01,,true,true,57,true,true,true
73322401,La Norma,VILLARODIN-BOURGET (La Norma),Le Melezet,4,W102,6.698833,45.1885,1958,1998-12-29,,true,true,73,true,true,false
