code_insee,commune,departement,feu_foret_present,statut,specifique
04124,Montagnac-Montpezat,04,,erreur,Remote end closed connection without response
04126,Montclar,04,,erreur,Remote end closed connection without response
04128,Montfuron,04,,erreur,Remote end closed connection without response
04129,Montjustin,04,,erreur,Remote end closed connection without response
04130,Montlaux,04,,erreur,Remote end closed connection without response
04097,La Javie,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04132,Montsalier,04,,erreur,Remote end closed connection without response
04099,Lambruisse,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04133,Moriez,04,,erreur,Remote end closed connection without response
04135,Moustiers-Sainte-Marie,04,,erreur,Remote end closed connection without response
04136,La Mure-Argens,04,,erreur,Remote end closed connection without response
04137,Nibles,04,,erreur,Remote end closed connection without response
04138,Niozelles,04,,erreur,Remote end closed connection without response
04139,Noyers-sur-Jabron,04,,erreur,Remote end closed connection without response
04140,Les Omergues,04,,erreur,Remote end closed connection without response
04141,Ongles,04,,erreur,Remote end closed connection without response
04109,Mallefougasse-Augès,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04142,Oppedette,04,,erreur,Remote end closed connection without response
04143,Oraison,04,,erreur,Remote end closed connection without response
04144,La Palud-sur-Verdon,04,,erreur,Remote end closed connection without response
04145,Peipin,04,,erreur,Remote end closed connection without response
04148,Peyroules,04,,erreur,Remote end closed connection without response
04149,Peyruis,04,,erreur,Remote end closed connection without response
04150,Piégut,04,,erreur,Remote end closed connection without response
04118,Melve,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04154,Pontis,04,,erreur,Remote end closed connection without response
04152,Pierrevert,04,,erreur,Remote end closed connection without response
04157,Puimoisson,04,,erreur,Remote end closed connection without response
04156,Puimichel,04,,erreur,Remote end closed connection without response
04072,Draix,04,,erreur,The read operation timed out
04070,Digne-les-Bains,04,,erreur,The read operation timed out
04158,Quinson,04,,erreur,Remote end closed connection without response
04160,Reillanne,04,,erreur,Remote end closed connection without response
04159,Redortiers,04,,erreur,Remote end closed connection without response
04161,Méolans-Revel,04,,erreur,Remote end closed connection without response
04163,Revest-du-Bion,04,,erreur,Remote end closed connection without response
04164,Revest-Saint-Martin,04,,erreur,Remote end closed connection without response
04166,Riez,04,,erreur,Remote end closed connection without response
04127,Montfort,04,True,Risque Existant,Votre commune est concernée par les obligations légales de débroussaillement
04169,La Rochegiron,04,,erreur,Remote end closed connection without response
04167,La Robine-sur-Galabre,04,,erreur,Remote end closed connection without response
04170,La Rochette,04,,erreur,Remote end closed connection without response
04171,Rougon,04,,erreur,Remote end closed connection without response
04173,Saint-André-les-Alpes,04,,erreur,Remote end closed connection without response
04174,Saint-Benoît,04,,erreur,Remote end closed connection without response
04175,Sainte-Croix-à-Lauze,04,,erreur,Remote end closed connection without response
04172,Roumoules,04,,erreur,Remote end closed connection without response
04178,Saint-Étienne-les-Orgues,04,,erreur,Remote end closed connection without response
04176,Sainte-Croix-du-Verdon,04,,erreur,Remote end closed connection without response
04177,Hautes-Duyes,04,,erreur,Remote end closed connection without response
04182,Saint-Julien-d'Asse,04,,erreur,Remote end closed connection without response
04181,Saint-Jeannet,04,,erreur,Remote end closed connection without response
04180,Saint-Jacques,04,,erreur,Remote end closed connection without response
04186,Saint-Laurent-du-Verdon,04,,erreur,Remote end closed connection without response
04184,Saint-Jurs,04,,erreur,Remote end closed connection without response
04183,Saint-Julien-du-Verdon,04,,erreur,Remote end closed connection without response
04187,Saint-Lions,04,,erreur,Remote end closed connection without response
04188,Saint-Maime,04,,erreur,Remote end closed connection without response
04189,Saint-Martin-de-Brômes,04,,erreur,Remote end closed connection without response
04192,Saint-Michel-l'Observatoire,04,,erreur,Remote end closed connection without response
04191,Saint-Martin-lès-Seyne,04,,erreur,Remote end closed connection without response
04190,Saint-Martin-les-Eaux,04,,erreur,Remote end closed connection without response
04195,Saint-Pons,04,,erreur,Remote end closed connection without response
04194,Saint-Pierre,04,,erreur,Remote end closed connection without response
04193,Saint-Paul-sur-Ubaye,04,,erreur,Remote end closed connection without response
04200,Salignac,04,,erreur,Remote end closed connection without response
04197,Sainte-Tulle,04,,erreur,Remote end closed connection without response
